"Business Name","Doing Business As","Business Address","Business Geo Location"
"BARZO RESTAURANTS LLC","CAPITOL WAFFLE SHOP","1110 E MAIN ST","POINT (-77.43405 37.53688)"
"MOONDOG BAKERY LLC",,"1900 BLAIR ST","POINT (-77.46863 37.54147)"
"ATELIER COLLECTIVE LLC",,"2307 W CARY ST","POINT (-77.47056 37.54957)"
"HOLADAY GRAVES MEDIA LLC",,"823 E MAIN ST 1702","POINT (-77.4365 37.53834)"
"TWO FRIENDS FROM RICHMOND LLC",,"804 W BROAD ST","POINT (-77.44888 37.54977)"
"M AND M DPF SERVICES LLC",,"5255 HULL STREET RD","POINT (-77.48953 37.4906)"
"COCINA CALLE LLC",,"900 E BROAD ST","POINT (-77.43342 37.54052)"
"M G B INC","PURE PLEASURE","68 LABROOK CONCOURSE","POINT (-77.50881 37.50266)"
"HEARTS-R-MENDING LLC",,"735 ARNOLD AVE","POINT (-77.42112 37.57289)"
"PEAK PLACEMENT INC","PEAK PLACEMENTS","4903 PARK AVE","POINT (-77.5008 37.57303)"
"CAPITAL CONSTRUCTION LLC",,"5109 HARVEST GLEN DR","POINT (-77.60483 37.66709)"
"PATS FLORIST INC",,"1721 W MAIN ST","POINT (-77.46292 37.54817)"
"TIGER ENTERPRISE INC","RACEWAY EXPRESS","898 AZALEA AVE","POINT (-77.4489 37.6021)"
"BROWN BEVERLY J AND PAYNE R L","EULIPION MARKETING AND MANAGEMENT","2618 THE PLAZA","POINT (-77.43668 37.56709)"
"LINKOUS FREDERICK","THE RABBIT","4910 PINE CREST AVE","POINT (-77.49117 37.51681)"
"Z3 CAPITAL PARTNERS LLC","Z3 CAPITAL PARTNERS","1739 KELLY RD","POINT (-77.46638 37.57631)"
"DELTA AUTO LLC",,"3151 HULL ST","POINT (-77.46473 37.50779)"
"CARWICH MARINE SHOWROOM INC","THE CANAL CLUB","1545 E CARY ST","POINT (-77.42946 37.53268)"
"RICHMOND WINDOW CORP",,"3895 DEEP ROCK RD","POINT (-77.57417 37.64245)"
"KOKOSING CONSTRUCTION COMPANY INC",,"6235 WESTERVILLE RD",
"FMS CONSTRUCTION INC",,"8601 SANFORD DR","POINT (-77.50333 37.63036)"
"BROAD ST MINI MART INC",,"1387 W BROAD ST","POINT (-77.45556 37.55376)"
"AUGUSTINE CONSTRUCTION LLC",,"1111 N 36TH ST","POINT (-77.40189 37.5318)"
"CRONIES",,"5807 PATTERSON AVE","POINT (-77.51499 37.5796)"
"SALUS CONSULTING LLC","SALUS CONSULTING LLC","107 WINDSOR WAY","POINT (-77.49893 37.55807)"
"BRINDLE & TAN CONSTRUCTION LLC",,"7540 TANGLE RIDGE DR","POINT (-77.38523 37.61749)"
"SPRECHER PENNY L PHD",,"530 E MAIN ST 90","POINT (-77.43931 37.54001)"
"CLINE ENTERPRISES OF RICHMOND INC","SAM MILLERS RESTAURANT","1210 E CARY ST","POINT (-77.43415 37.53558)"
"CECIL W BERRY JR INC","B & B HOME IMPROVEMENTS","2425 MOORE RD","POINT (-77.81693 37.46024)"
"CROSS CREEK MECHNICAL LLC",,"12733 OAK LAKE CT C",
"HUNAN EAST GOURMET CORP","HUNAN EAST GOURMET RESTAURANT","4415 W BROAD ST","POINT (-77.48727 37.57644)"
"CAPITAL CITY ELECTRICAL SVCS INC",,"11400 WOODFORD CT","POINT (-77.5092 37.67975)"
"IMAGINARY IMAGES INC","PAPER MOON RESTAURANT","6710 MIDLOTHIAN TPKE","POINT (-77.51927 37.50281)"
"METRO PROPERTIES INC","METRO PROPERTIES","200 W FRANKLIN ST","POINT (-77.44547 37.54505)"
"CLEAR MIND COUNSELING LLC",,"1108 E MAIN ST 902","POINT (-77.43414 37.53694)"
"THE COBRA CONSORTIUM CORP","COBRA CABANA","901 W MARSHALL ST","POINT (-77.44881 37.55108)"
"LEADERS FOR LIFE INC",,"530 E MAIN ST 410","POINT (-77.43931 37.54001)"
"WELLS FARGO BANK NA",,"1800 CHAMBERLAYNE PKWY","POINT (-77.44297 37.55986)"
"SALHA HAYTHAM","FRUITY SMOOTHIES","900 E BROAD ST 103","POINT (-77.43342 37.54052)"
"WASH JULIE ANN","THE KIKI COLLECTION & DESIGN","4106 PARK AVE","POINT (-77.48942 37.56716)"
"TRIMIEW SHARONDA","J.T. PHARMACY TECHNICAL TRAINING","313 E BROAD ST 321","POINT (-77.43878 37.54367)"
"MAIN STREET BARBER LLC",,"2215 W MAIN ST","POINT (-77.46895 37.55031)"
"LACTEOS TOROGOZ LLC","LATINO MARKET","3815 RICHMOND HWY","POINT (-77.44339 37.47222)"
"TOUCH YOUR MULLET INC","TERROIRIZER","1320 N ARTHUR ASHE BLVD D","POINT (-77.46772 37.5671)"
"CAFFES STEELE INC",,"6623 MID CITIES AVE",
"DAVE GAU ANIMATIONS INC","SHAVEFX INC","1901 E FRANKLIN ST 104","POINT (-77.42549 37.53294)"
"VIRGINIA CVS PHARMACY LLC","CVS PHARMACY #2973","2400 E MAIN ST","POINT (-77.42174 37.52933)"
"ABLE GLASS SERVICES INC",,"2007 CHAMBERLAYNE PKWY","POINT (-77.44271 37.56159)"
"MANY MOONS BREAD LLC",,"4325 KNOB ROAD","POINT (-77.55377 37.55478)"
"SIMPSON UNLIMITED INC",,"11121 INDUSTRIAL ROAD","POINT (-77.5393 38.75191)"
"MATRYX SYSTEMS INC",,"816 BLANTON AVE","POINT (-77.48146 37.54497)"
"KP LANDSCAPING OF RICHMOND INC",,"3321 5TH AVE","POINT (-77.41007 37.56996)"
"SENDER VANS LLC","SENDER VANS","3007 W CLAY ST D","POINT (-77.47126 37.56612)"
"SRMF REAL ESTATE LLC",,"9004 W HUGUENOT RD","POINT (-77.56392 37.53732)"
"NICOLE RUTLEDGE DESIGN LLC","NICOLE RUTLEDGE DESIGN","1404 WINCHELL ST","POINT (-77.39873 37.51143)"
"LUCKY AF, LLC","LUCKY AF","3103W LEIGH ST","POINT (-77.47121 37.56747)"
"GRACE AND HOLY TRINITY ENDOOWMENT FUND",,"8 N LAUREL ST.","POINT (-77.45153 37.54666)"
"HEALTHCARE COMMERCIAL CONSTRUCTION LLC",,"24W RUNSWICK DR","POINT (-77.61368 37.59532)"
"HEARN CONSULTING LLC",,"4408 PATTERSON AVE","POINT (-77.49408 37.56845)"
"EVANS ACCOUNTING & BUSINESS SERV INC",,"2965 SKIPTON RD","POINT (-77.51094 37.54125)"
"MCGOWAN & ROYAL LLC","CROAKERS SPOT MOBILE","900 E BROAD ST","POINT (-77.43342 37.54052)"
"UPTOWN COLOR LLC",,"1205 W MAIN ST","POINT (-77.45679 37.54598)"
"QUICK SERVANT CO INC",,"12011 GUILFORD RD 111",
"NENA MEURLIN PHOTOGRAPHY LLC",,"202 MATOAKA RD","POINT (-77.51356 37.57145)"
"ARTISAN INSIGNIA LLC",,"10300 DURYEA DR","POINT (-77.58664 37.53915)"
"KEVIN M BOONE",,"2211 DICKENS RD 265","POINT (-77.50914 37.6003)"
"SOUTHSIDE PETROLEUM MARKETING","SOUTHSIDE FUEL","707 ALBANY AVE","POINT (-77.43646 37.51917)"
"IMAGES MAIN STREET LLC",,"3316 W CARY ST 111","POINT (-77.48425 37.55444)"
"THE PMHNP SOURCE LLC",,"3007 EDGEWOOD AVE","POINT (-77.43855 37.57235)"
"BEECROFT & BULL LTD",,"5712 GROVE AVE","POINT (-77.5178 37.57303)"
"HAGAR LLC","LAURA LEES","3410 SEMMES AVE","POINT (-77.46971 37.51584)"
"KALINDI INC","CANNON EXPRESS MART","6110 JAHNKE RD","POINT (-77.50967 37.52063)"
"EL SAZON DE LA ABULLA LLC",,"900 E BROAD ST","POINT (-77.43342 37.54052)"
"VINSON & ELKINS LLP",,"901 E BYRD ST 1500","POINT (-77.4386 37.53501)"
"EVERGIB LLC",,"2414 GROVE AVE","POINT (-77.47032 37.55348)"
"THE PARK RVA LLC",,"1407 CUMMINGS DR","POINT (-77.45489 37.56912)"
"GENERAL AUTO REPAIR LLC",,"4215 RICHMOND HWY A","POINT (-77.44309 37.46777)"
"FASHION GALLERY INC","RAINBOW #449","305 E BROAD ST","POINT (-77.43905 37.54383)"
"BRACT RETAINING WALLS AND EXCAVATING,LLC",,"10423 DOW GIL ROAD","POINT (-77.46668 37.73954)"
"DUREX COVERINGS INC",,"53 INDUSTRIAL RD","POINT (-78.15039 38.936)"
"SMART JODIE M","OVER THE MOON ART AND PHOTOGRAPHY","946 BRADLEY LN","POINT (-77.50399 37.51638)"
"SHAIKH KAMRAN","T-SHIRT STUDIO","3037 W CARY STREET","POINT (-77.48017 37.55298)"
"MAGGIE HUNTER LLC",,"1520 W MAIN ST 200B","POINT (-77.46029 37.54751)"
"LUMBER SALES CORPORATION",,"1104 OLIVER HILL WAY","POINT (-77.42474 37.54339)"
"ADITXT  INC",,"737 N 5TH ST 200","POINT (-77.43341 37.54723)"
"TST TACTICAL DEFENSE SOLUTIONS INC",,"2516 SQUADRON CT","POINT (-76.06099 36.79781)"
"ARGOSY ELECTRIC INC",,"112 PRODUCTION DR","POINT (-76.45812 37.11155)"
"NEWPORT GROWTH & EXIT ADVISORS LLC",,"8143 RIVERSIDE DR","POINT (-77.54002 37.55871)"
"KANDS CONTRACTING LLC",,"13120 COX RD","POINT (-78.14858 38.1578)"
"GREEN THUMB LAWN MAINTENANCE LLC","GREEN THUMB LAWN MAINTENANCE","304 ESSEX PL","POINT (-77.42895 37.57048)"
"RUM AND DONE LLC","SLURP! RAMEN","2416 JEFFERSON AVE","POINT (-77.41608 37.53507)"
"PICKLEBACK PRODUCTIONS LLC","WHAT'S OUR AGE AGAIN?","506 WESTVIEW AVE","POINT (-77.51338 37.57621)"
"MUNISH LLC",,"6414 MIDLOTHIAN TPKE","POINT (-77.51533 37.50354)"
"JACK OF ALL TRADES CONST LLC",,"2309 CERSLEY ST","POINT (-77.45179 37.51357)"
"RICHMOND SPORTS MASSAGE LLC",,"3000 W CARY ST 1","POINT (-77.47895 37.55254)"
"FORTYOEIGHT INC",,"4008 MONTICELLO ST","POINT (-77.4603 37.58883)"
"NORTHBANK CABINETRY LLC",,"3202 ROSEDALE AVE B","POINT (-77.46984 37.57537)"
"MCKAY WEALTH MANAGEMENT GROUP LLC",,"2920 W BROAD ST 208","POINT (-77.47229 37.56423)"
"KATCHMARK CONSTRUCTION A TECTA","AMERICA COMPANY LLC","3856 DULLES SOUTH COURT A","POINT (-77.47011 38.91113)"
"COURTNEY SPENCER WEDDINGS, LLC",,"4055 COLLINGBOURNE RD","POINT (-77.55152 37.55221)"
"DGMC INC","GRISETTE","3119 E MARSHALL ST","POINT (-77.4119 37.52879)"
"WESTHAMPTON THERAPY AND CONSULTING LLC",,"4519 KENSINGTON AVE","POINT (-77.49743 37.56785)"
"AUTOZONE STORES INC","AUTOZONE #953","3906 JEFFERSON DAVIS HWY","POINT (-77.44384 37.47108)"
"PLUMBER NEAR ME LLC",,"13513 E BOUNDARY RD C","POINT (-77.64508 37.44773)"
"AFGHAN CUISINE LLC",,"1335 W BROAD ST","POINT (-77.45492 37.55339)"
"SHELTON RUTH",,"3624 BRANCHWOOD DR","POINT (-77.47386 37.46855)"
"CLEANING SERVICES PERFECT SHINE LLC",,"5805 WILLOW OAKS DR D","POINT (-77.50708 37.52807)"
"OLIVETTE MADDY","KLASS","104 W BROAD ST","POINT (-77.443 37.54627)"
"BURTON BREWING LLC","STRANGEWAYS BREWING","3110 W LEIGH ST","POINT (-77.47152 37.56773)"
"W S ROBINSON & SON PLUMBING & HEATING IN",,"1785 THREE CHOPT RD","POINT (-77.65923 37.67301)"
"AKINOCHO ALIOU","ALISS AND FILS","2517 W TREMONT CT","POINT (-77.53669 37.5349)"
"JOSEPH JENKINS JR FUNERAL HOME",,"2011 GRAYLAND AVE","POINT (-77.46785 37.54676)"
"LEO LANTZ CONSTRUCTION INC",,"11966 OLD WASHINGTON HWY","POINT (-77.49285 37.69359)"
"LUCKY AF, LLC","LUCKY AF","3103W LEIGH ST","POINT (-77.47121 37.56747)"
"ON THE FLY MOVING GUYS LLC",,"16 N 18TH STREET","POINT (-77.42702 37.53356)"
"HAROLD B KELLY",,"2325 PARK AVE","POINT (-77.46714 37.55672)"
"DOTS BACK INC","DOTS BACK INN","4030 MACARTHUR AVE","POINT (-77.45828 37.58993)"
"TIM MACYS","LANDSCAPE MD","3312 MONUMENT AVE","POINT (-77.4782 37.56477)"
"TOTALLY YOU INC",,"2841 HATHAWAY RD","POINT (-77.51782 37.53921)"
"SOUTHEAST OFFICE LIQUIDATORS LLC",,"3425 W FRANKLIN ST 1","POINT (-77.48138 37.56425)"
"ATLANTIC ORIENT TOBACCO INC",,"3600 W BROAD ST 391","POINT (-77.47788 37.56863)"
"CWF CATERING LLC",,"4412 HANOVER AVENUE","POINT (-77.49681 37.56527)"
"CHAMPAGNE AND CABANAS TRAVELS LLC","COPPER HALL","1129 HULL ST","POINT (-77.44396 37.52105)"
"STANDARD PARKING #98407",,"401 E BROAD ST","POINT (-77.43822 37.54333)"
"COUNTRY CLUB OF VIRGINIA INC",,"6031 ST ANDREWS LANE","POINT (-77.52717 37.57206)"
"ALI MEDICAL TRANSPORT INC",,"227 E BELT BLVD A","POINT (-77.47953 37.5055)"
"CROSSROADS RECORDS LTD",,"9200 STONY POINT PKWY 191","POINT (-77.57198 37.54986)"
"WOLFCREEK CONSTRUCTION COMPANY INC",,"8078 CADYS WOODS DR","POINT (-77.34642 37.44299)"
"HAMRICK & COMPANY LLC",,"6 ALBEMARLE AVE","POINT (-77.50854 37.56689)"
"CKF RICHMOND INC","CHICKEN FIESTA","2311 W BROAD ST","POINT (-77.46526 37.55915)"
"CUATRO GALLERY LLC",,"217 BLAND ST","POINT (-77.47261 37.51382)"
"INDUSTRIAL RESOURCE SALES INC","CAPITAL EQUIPMENT SALES INC","10720 OLD GUN TRACE","POINT (-77.5946 37.54034)"
"KIM KWANG O","STONY POINT SHOE REPAIR","3018 STONY POINT RD","POINT (-77.5636 37.53935)"
"APLUS IMPROVEMENTS LLC","APLUS IMPROVEMENTS LLC","1129 ALTHEA ST","POINT (-77.42621 37.56152)"
"OMNI CENTER CORP","OMNI RICHMOND HOTEL","100 S 12TH ST","POINT (-77.4348 37.53571)"
"ABOUT THE BOOKS ACCOUNTING & CONSULTING",,"11 S 12TH ST","POINT (-77.43431 37.53619)"
"PICKLES PEPPERS AND SAUCE LLC",,"3707 CARRIE RIDGE CT","POINT (-77.47032 37.46885)"
"WETLAND STUDIES AND SOLUTIONS INC",,"5300 WELLINGTON BRANCH DR","POINT (-77.26424 37.46231)"
"PAYNE SQUARE LLC",,"808 N 30TH ST","POINT (-77.40939 37.53397)"
"STEVE NUCKOLLS MUSIC",,"1815 MONUMENT AVE","POINT (-77.46101 37.55421)"
"WEISENSALE SHEILA P","SPW","3911 BROOK RD","POINT (-77.4519 37.58833)"
"GREELEY AND HANSEN LLC",,"9020 STONY POINT PKWY 475","POINT (-77.56869 37.55398)"
"ENVIRONMENTAL POLICY CONSULTING LLC",,"8701 CHEROKEE ROAD","POINT (-77.55287 37.55268)"
"ARTHUR CONSTRUCTION LLC",,"2502 5TH AVE","POINT (-77.41882 37.56347)"
"ATHENS TAVERNA INC","ATHENS TAVERN","401 N ROBINSON ST","POINT (-77.47052 37.55678)"
"CUSTOM VIDEO LLC","CREATIVE CAPTION & VIDEO","7476 ROCKFALLS DR","POINT (-77.52506 37.55084)"
"VIRGINIA FERTILITY ASSOCIATES LLC",,"9030 STONY POINT PKWY 450","POINT (-77.56855 37.55357)"
"ARIA AT JAMES CENTER LLC","CHICK-FIL-A","1051 E CARY ST","POINT (-77.43549 37.53503)"
"PETER-BLAIR INC","PETER-BLAIR","5718 GROVE AVE","POINT (-77.51809 37.57301)"
"7 DAYS ROOFING LLC",,"3728 COTRELL RD","POINT (-77.48174 37.46506)"
"LAVENDER CHEF INC","ULIVETO","325 N ROBINSON ST","POINT (-77.47085 37.55619)"
"SIERRA MARTINEZ OSCAR LEONEL","PEACHTREE LANDSCAPING","1067 KINGSWAY RD","POINT (-77.50042 37.49201)"
"ROSWORKS LLC","TEST FOR HIGHER STANDARDS","2821 ELLWOOD AVE","POINT (-77.47683 37.55313)"
"E S TAYLOR STUDIO LLC",,"1308 AMHERST AVE","POINT (-77.45446 37.58997)"
"JAMES RIVER NURSERIES INC",,"13244 ASHLAND RD",
"THE HDL COMPANY LLC",,"6424 WINTER RD","POINT (-77.51394 37.49543)"
"UNITED AUTO REPAIR AND SALES INC","UNITED AUTO REPAIR AND SALES","5460 MIDLOTHIAN TPKE","POINT (-77.49907 37.50643)"
"MIKE AND RODI CORP","WILLOW LAWN EXXON","4900 W BROAD ST","POINT (-77.49323 37.582)"
"M & F JAMAICAN CAFE ON WHEELZ LLC","M&F JAMAICAN RESTAURANT AND BAR","1400 SEMMES AVE","POINT (-77.45007 37.52408)"
"MAD BUNNY LLC","GERSI","805 N DAVIS AVE","POINT (-77.46641 37.55965)"
"REXCO LLC",,"409 CLEVELAND ST","POINT (-77.47807 37.55951)"
"AEB CATERING LLC","LEGACY RESTAURANT AND BISTRO","1717 BELLEVUE AVE","POINT (-77.46788 37.58851)"
"GF CERTIFIED SALES LLC",,"20 N 8TH ST","POINT (-77.43663 37.53937)"
"DABNEY WILLIAM TAYLOR IV",,"3104 PORTER ST","POINT (-77.46518 37.51561)"
"CAR-WAY LLC",,"5341 OLD MIDLOTHIAN TPKE","POINT (-77.49506 37.50669)"
"HCA HEALTH SERVICES OF VIRGINIA INC","CHIPPENHAM HOSPITAL #6103","7101 JAHNKE ROAD 1054","POINT (-77.52552 37.51447)"
"STICKS AND BRICKS CONSTRUCTION LLC",,"15 S STAFFORD AVE","POINT (-77.47122 37.55024)"
"3 HENS INC","CHACHUS CAPITAL MARKET CAFE","2601 W MAIN ST","POINT (-77.47341 37.5519)"
"NANCY S KLINE LLC",,"404 W 30TH ST","POINT (-77.46413 37.51718)"
"WAYTES VIRGIL L","TODAYS ENTERPRISE OUTLET","900 E BROAD ST","POINT (-77.43342 37.54052)"
"HISTORICAL RESTAURANT CONCEPTS LLC","STATION 2","2016 E MAIN ST","POINT (-77.42522 37.53143)"
"WALEED2800 LLC","ROYAL CONVENIENCE STORE","2800 NINE MILE RD","POINT (-77.405 37.54124)"
"ATLANTIC BEACON REALTY LLC",,"1012 N BELMONT AVE","POINT (-77.47364 37.56426)"
"LUCKY 21 VA LLC","TOBACCO HEAVEN","422 W BROAD ST","POINT (-77.44616 37.54818)"
"ARTS AND LETTERS CREATIVE CO LLC",,"1805 HIGHPOINT AVE","POINT (-77.4687 37.5704)"
"CONGO RAKIA","RAKIA AFRICAN BRAIDING","467 WESTOVER HILLS BLVD","POINT (-77.48756 37.51105)"
"THE VEIL BREWING COMPANY LLC",,"1509 BELLEVILLE ST","POINT (-77.47494 37.57154)"
"DAT BOUTIQUE LLC","DAT BOUTIQUE","904 W BROAD ST","POINT (-77.44972 37.55027)"
"SIDEWALK CAFE INC","THE SIDEWALK CAFE","2101 W MAIN ST","POINT (-77.4672 37.5497)"
"RICHMOND FORD LLC",,"4600 W BROAD ST","POINT (-77.48977 37.5789)"
"TATE & HILL INC",,"2812 DECATUR ST","POINT (-77.45901 37.5097)"
"GEOMETRIC HAIR CO","KARINA'S GEOMETRIC HAIR CO","1707 COMMONWEALTH AVE","POINT (-77.48792 37.57625)"
"CAROLYN JEAN BOONE MD PC",,"110 N ROBINSON ST 103","POINT (-77.47252 37.55319)"
"GECEL LIZETTE","INKLOSURES","4706 AUGUSTA AVE","POINT (-77.49311 37.57726)"
"NARA BEAUTY LLC","RUBY READ BEAUTY","3618 JEFFERSON DAVIS HWY","POINT (-77.44445 37.47486)"
"KELLY CELESTE",,"5806 GROVE AVENUE 122","POINT (-77.51878 37.57298)"
"BLISSED EVENT CO LLC","LAUREN BLISS EVENTS","4413 LEONARD PKWY","POINT (-77.49531 37.56793)"
"HOTEL GREENE LLC","HOTEL GREENE","508 E FRANKLIN ST","POINT (-77.43844 37.54081)"
"DIVERSIFIED BUILDING SERVICES INC",,"2955 PINEVIEW DR","POINT (-77.45722 37.48175)"
"SNS ENTERPRISES INC","701 EXPRESS","701 RICHMOND HWY","POINT (-77.44757 37.50996)"
"QUACH PHAT N","UPTOWN NAIL","324 E BROAD ST","POINT (-77.43853 37.54367)"
"HAYES WILLIAM","CORNER HATS","301 W 29TH ST","POINT (-77.46236 37.51664)"
"RAYS ULTIMATE HAIR DESIGNS LLC",,"215 W BROOKLAND PARK BLVD","POINT (-77.43594 37.57168)"
"ANDREWS DEBORAH SUE",,"1500 N 25TH ST","POINT (-77.40878 37.54216)"
"NATHANS ROOF REPAIRS INC","NATHANS WINDOWS & SIDING","300 CONCOURSE BLVD 130","POINT (-77.50898 37.50153)"
"NELSON MULLINS RILEY & SCARBOROUGH LLP",,"901 E BYRD ST 1650","POINT (-77.4386 37.53501)"
"CREATE ONE INC","YOUR LIFE YOUR DESTINY C.ITPHOTOGRAPRY","3605 MOSS SIDE AVE","POINT (-77.44159 37.58202)"
"CHICANOS INC","CHICANOS COCINA BAR & GRILL","523 E MAIN ST C2","POINT (-77.43922 37.53996)"
"STEELE MUSIC LLC",,"900 TERMINAL PL 252","POINT (-77.4675 37.56284)"
"STAGE WHEELS LLC","STAGE WHEELS","2601  DECATUR ST","POINT (-77.45542 37.51263)"
"THE TECH EXCHANGE LLC",,"817 W CARY ST","POINT (-77.45244 37.54452)"
"ODD EGG DESIGN LLC",,"500 N ROBINSON ST","POINT (-77.46995 37.55763)"
"WESCO BUILDERS INC",,"3301 NUTTREE WOODS PL","POINT (-77.65574 37.4438)"
"SCHICK CORPORATION",,"936 CORPORATE LN","POINT (-76.22853 36.75742)"
"TORTILLERIA AZTECA LLC","AZTECA RESTURANT","3001 JEFFERSON DAVIS HWY","POINT (-77.44444 37.48263)"
"DAVENPORT & COMPANY LLC",,"901 E CARY ST 11FL","POINT (-77.4365 37.53699)"
"GRAY & GRAY JANITORIAL LLC",,"3724 GREER AVE","POINT (-77.46499 37.46919)"
"MURIEL GELLATLY TRAVEL LIMITED",,"115 SHOCKOE SLIP","POINT (-77.43395 37.53429)"
"RPC INDUSTRIES INC",,"705 INDUSTRIES DR","POINT (-77.55171 37.5826)"
"PENINSULA PAVING INC",,"810 PLUM AVE","POINT (-76.39565 37.0083)"
"THE NANNY BUREAU LLC",,"323 N 27TH ST","POINT (-77.41631 37.53125)"
"RUFF CANINE CLUB LLC",,"1924 ELLEN RD","POINT (-77.46855 37.57465)"
"BOTANICA EL PODER DE LA MENTE LLC",,"6301 HULL ST RD","POINT (-77.50828 37.48036)"
"ELECTRIC SOLUTIONS OF RICHMOND LLC",,"7611 SUNNY BANK DR","POINT (-77.5258 37.62718)"
"BUZZ THROUGH LAUNDROMAT LLC",,"2606 BROAD ROCK BLVD A","POINT (-77.47944 37.48181)"
"MARVEL ARCHITECTS LANDSCAPE ARCHITECTS",,"300 E MAIN ST","POINT (-77.44152 37.54133)"
"KIM STOCKWELL PHOTOGRAPHY LLC",,"1002 WILLOW LAWN DR","POINT (-77.5061 37.5766)"
"JD CONSTRUCTION AND PROPERTY MGNT CORP",,"8456 LANIER OVERLOOK CT","POINT (-77.5662 38.77166)"
"BAKER INFORMATION TECHNOLOGY LLC",,"6912 LONGVIEW DR","POINT (-77.51868 37.54384)"
"ASTYRA CORPORATION",,"411 E FRANKLIN ST 105","POINT (-77.43949 37.54148)"
"LATINOS UNIDOS CORPORATION",,"6832 MIDLOTHIAN TPKE A","POINT (-77.52148 37.50243)"
"HAMLET CLEANERS INC",,"7 S STAFFORD AVE","POINT (-77.47108 37.55051)"
"UNBOXED TECHNOLOGY LLC",,"2201 W BROAD ST 202","POINT (-77.4629 37.55814)"
"CARDINAL ELECTRICAL LLC",,"4602 LANDING CIR","POINT (-77.5574 37.44034)"
"FIXTURE SPECIALIST INC",,"23328 BUSINESS CENTRE CT","POINT (-77.44868 37.94174)"
"D&D MECHANICAL INC",,"2563 BELLWOOD RD","POINT (-77.43201 37.40964)"
"TAQUERIA TATI LLC",,"900 E BROAD ST","POINT (-77.43342 37.54052)"
"THE THE SHERWIN WILLIAMS COMPANY","DURON PAINTS & WALLCOVERINGS #3377","6516 HULL STREET RD","POINT (-77.5132 37.48046)"
"CSE INC",,"153 RAGLAND RD","POINT (-79.11934 37.42223)"
"HELLENIC LLC","HELLENIC KOUZINA GREEK CAFE","900 E BROAD ST","POINT (-77.43342 37.54052)"
"MAD MONKIE LLC",,"2221 BYWOOD LANE","POINT (-77.51218 37.47702)"
"TORRES WANDA","DOTS CLEANING SERVICE","3167 ZION ST","POINT (-77.45535 37.47876)"
"JONES UTILITIES CONSTRUCTION INC",,"436 TV DR","POINT (-77.55083 37.58322)"
"ADAMS HEATING & AIR CONDITIONING",,"5770 HULL STREET ROAD","POINT (-77.49943 37.48537)"
"ELTAYEB ABDEL","LIBERTY VENDING LLC","900 E BROAD ST","POINT (-77.43342 37.54052)"
"H AND N ZWAIN CORP",,"5732 HULL STREET RD","POINT (-77.49823 37.486)"
"ADAMSON DEVELOPMENT CORP",,"9301 RIVER RD","POINT (-77.59767 37.5802)"
"PEARMAN IMPRESSIONS LLC","PRO PRINTING","4627 W BROAD ST","POINT (-77.4905 37.57868)"
"POARCH ANNE GIBSON","ANNE GIBSON POARCH LLC","4305 CAMBRIDGE RD","POINT (-77.49999 37.55993)"
"U HAUL COMPANY OF VIRGINIA","U-HAUL CENTER RICHMOND","500 BELT BLVD","POINT (-77.47637 37.50442)"
"DANCE SERVICE CENTER INC",,"2906 HATHAWAY RD","POINT (-77.52002 37.53876)"
"MCVEY DESIGN SERVICES LTD",,"6 STONEHURST GREEN","POINT (-77.52673 37.57245)"
"GARDENS EDGE LLC",,"3904 GROVE AVE","POINT (-77.49036 37.5611)"
"FOLIAGE SALON LLC","BIRCH SALON","3034 PARKWOOD AVE","POINT (-77.48069 37.55222)"
"INSPIRE AUTO SALES",,"2109 JEFFERSON DAVIS HWY","POINT (-77.44562 37.49255)"
"FALL LINE PHOTOS LLC",,"3333 WARNER RD","POINT (-77.51707 37.54352)"
"ECOLAB INC",,"370 WABASHA ST N","POINT (-77.43497 37.60934)"
"GIT'S MASONRY INC","JACQUES GITS","2693 ROCKY OAK ROAD","POINT (-76.85015 38.07999)"
"OMNI FAMILY CHIROPRACTIC PLLC","OMNI FAMILY CHIROPRACTIC","6806 PATTERSON AVE","POINT (-77.52978 37.58985)"
"TIM EVANS INC",,"9121 E SHERWOOD DR",
"WOODSTOCK MANAGEMENT INC",,"1177 BRADBURY RD",
"WILLIAMS MULLEN CLARK & DOBBINS PC",,"200 SOUTH 10TH STREET 1600","POINT (-77.43718 37.53584)"
"CAMEL INC","THE CAMEL","1621 W BROAD ST","POINT (-77.45705 37.55466)"
"STAPLES NORMAN R","NRS ENTERPRISES LLC","5701 CLAYVILLE LANE","POINT (-77.8018 37.42496)"
"SERENITY PLUMBING INC",,"10621 ACADEMY DR","POINT (-77.59901 37.46253)"
"1600 MECHANICSVILLE TURNPIKE MARKET LLC","80 MARKET","1601 MECHANICSVILLE TPKE","POINT (-77.41428 37.54926)"
"EMERALD CONSTRUCTION COMPANY",,"2219 DABNEY RD","POINT (-77.48127 37.58108)"
"TAMMY H SIMMS QMHP A/C LLC",,"2107 COLUMBIA ST","POINT (-77.44371 37.49257)"
"SCOTT STATON LLC",,"727 W BROAD ST","POINT (-77.44895 37.54982)"
"RIGA ENTERPRISES INC","HOPKINS STORE THE YELLOW STORE","1437 HOPKINS ROAD","POINT (-77.46009 37.49717)"
"KEITA ELECTRICAL GROUP LLC","KEITA ELECTRICAL GROUP LLC","6035 WILD GINGER CT",
"MOORE ROOFING LLC",,"1801 OSBORNE RD","POINT (-77.40104 37.36544)"
