"Agency/Department","Contract Number","Contract Value","Supplier","Procurement Type","Description","Type of Solicitation","Effective From","Effective To"
"City Wide","24000005168","$250,000.00","Compass Contracting Inc","Invitation to Bid","IFB# 240000172 / Citywide / Maintenance Related Services (Multiple) - Masonry and Concrete (Minor) / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2023 Nov 13 12:00:00 AM","2028 Nov 12 12:00:00 AM"
"City Wide","24000005173","$50,000.00","Kohmar Air Duct Cleaning LLC","Invitation to Bid","IFB# 240000172 / Citywide / Maintenance Related Services (Multiple) - HVAC Duct Cleaning / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2023 Nov 13 12:00:00 AM","2028 Nov 12 12:00:00 AM"
"City Wide","24000005177","$2,500,000.00","Roofing Innovations LLC","Invitation to Bid","IFB# 240000172 / Citywide / Maintenance Related Services (Multiple) - Roofing Installation and Repairs / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2023 Nov 13 12:00:00 AM","2028 Nov 12 12:00:00 AM"
"City Wide","24000005179","$100,000.00","Simpson Unlimited Inc.","Invitation to Bid","IFB# 240000172 / Citywide / Maintenance Related Services (Multiple) - Masonry and Concrete (Minor) and Roofing Installation and Repairs / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2023 Nov 13 12:00:00 AM","2028 Nov 12 12:00:00 AM"
"City Wide","24000005184","$50,000.00","The Wes Stewart Corporation","Invitation to Bid","IFB# 240000172 / Citywide / Maintenance Related Services (Multiple) - Moving / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2023 Nov 13 12:00:00 AM","2028 Nov 12 12:00:00 AM"
"City Wide","24000005166","$250,000.00","Bahen Inc","Invitation to Bid","IFB# 240000172 / Citywide / Maintenance Related Services (Multiple) - HVAC Duct Cleaning and Emergency Cleaning / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2023 Nov 15 12:00:00 AM","2028 Nov 14 12:00:00 AM"
"City Wide","24000005178","$350,000.00","SEVERS CONTRACTING LLC","Invitation to Bid","IFB# 240000172 / Citywide / Maintenance Related Services (Multiple)- Carpentry, Drywall Repair and Finishing, Painting, Fencing and Gate Installation, Masonry and Concrete, Roofing / 5-Year Initial Term and Two (2) Year Renewals.","Non Professional Services, Non Technology","2023 Nov 15 12:00:00 AM","2028 Nov 14 12:00:00 AM"
"City Wide","24000005181","$50,000.00","Tech Painting Company Inc","Invitation to Bid","IFB# 240000172 / Citywide / Maintenance Related Services (Multiple) - Drywall Repair and Finishing and Painting (Interior and Exterior)/ 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2023 Nov 15 12:00:00 AM","2028 Nov 14 12:00:00 AM"
"City Wide","24000005169","$100,000.00","DeShazo and Son Roofing, Inc.","Invitation to Bid","IFB# 240000172 / Citywide / Maintenance Related Services (Multiple) - Roofing, Window Cleaning / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2023 Nov 28 12:00:00 AM","2028 Nov 27 12:00:00 AM"
"City Wide","24000005172","$150,000.00","JOHNNY ON THE SPOT SERVICES","Invitation to Bid","IFB# 240000172 / Citywide / Maintenance Related Services (Multiple) - Carpentry, Drywall Repair, Painting, Fencing and Gate Installation, Masonry and Concrete (Minor), Window Cleaning / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2023 Nov 28 12:00:00 AM","2028 Nov 27 12:00:00 AM"
"City Wide","24000005182","$100,000.00","The Carpentry and Painting Experts, LLC","Invitation to Bid","IFB# 240000172 / DPW Citywide / Maintenance Related Services (Multiple) - Carpentry, Drywall Repair and Finishing, Painting, Flooring, and Door and Lock Services / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2023 Nov 28 12:00:00 AM","2028 Nov 27 12:00:00 AM"
"City Wide","24000005170","$50,000.00","Estate Logistical - INACTIVE","Invitation to Bid","IFB# 240000172 / Citywide / Maintenance Related Services (Multiple) - Moving / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2023 Nov 30 12:00:00 AM","2028 Nov 29 12:00:00 AM"
"Public Utilities","25000012374","$92,914.32","MYTHICS LLC","Cooperative Agreement","Renew Oracle Support of Service Suite 9.8 Apps Oracle Hardware and Software (ODA X9-2).This PO incorporates the terms of Mythics quote number SR-21186120-COR-FY25 and Maricopa County Contract # 180233-002","Non Professional Services, Technology","2025 May 30 12:00:00 AM","2028 Nov 30 12:00:00 AM"
"Information Technology","22000008440","$2,205,793.29","DLT Solutions LLC","Cooperative Agreement","Cooperative / Services - Technology / Department of Information Technology / Oracle Managed Cloud ServicesB90622 - MCS - Oracle Managed Application Cloud - Base - Managed Host System / Initial Term of Five (5) years One (1) - Five (5) year","Non Professional Services, Technology","2022 Feb 24 12:00:00 AM","2028 Nov 30 12:00:00 AM"
"Information Technology","25000008269","$533,396.36","MYTHICS LLC",,"Requisition 250006725/ City's Oracle EBS (CORERP) system. Term 2/25/2025 through 2/24/2026/FY25 including the Maricopa County Contract # 180233-002 (US Communities) by reference","Non Professional Services, Technology","2025 Feb 11 12:00:00 AM","2028 Nov 30 12:00:00 AM"
"Information Technology","25000008406","$83,962.00","MYTHICS LLC","Cooperative Agreement","Requisition 250007602/Oracle PaaS and IaaS Universal Credits B88206Term 2/27/2025 - 2/26/2026 Mythics quote number CR-12162024 and OMNIA Contract number 180233-002 by reference","Non Professional Services, Technology","2025 Feb 19 12:00:00 AM","2028 Nov 30 12:00:00 AM"
"Information Technology","25000008410","$194,625.27","MYTHICS LLC","Cooperative Agreement","Requisition250007098/FY25 True-Up - Continuing support and maintenance for Software License Expansion for the CORERP System/OMNIA Contract number 180233-02","Non Professional Services, Technology","2025 Feb 19 12:00:00 AM","2028 Nov 30 12:00:00 AM"
"Information Technology","25000008568","$771,271.00","DLT Solutions LLC","Cooperative Agreement","Rq250008176(formerly #22000008440) Cooperative / Services - Technology / Department of Information Technology / Oracle Managed Cloud ServicesB90622 - MCS - Oracle Managed Application Cloud - Base - Managed Host System Contract 180233","Non Professional Services, Technology","2025 Feb 20 12:00:00 AM","2028 Nov 30 12:00:00 AM"
"Information Technology","25000009871","$30,456.84","MYTHICS LLC","Cooperative Agreement","Requisition 250009870/3514026 - Oracle Project Costing - Support and Update Rights - for 40 licenses quote number SR-20805020-COR-FY25 and Maricopa County Contract # 180233-0024/Quote terms15/2025 - 4/14/2026","Non Professional Services, Technology","2025 Apr 14 12:00:00 AM","2028 Nov 30 12:00:00 AM"
"Information Technology","24000007858","$176,812.32","RECOVERY POINT SYSTEMS","Cooperative Agreement","Requisition 240007620/Offsite disaster recovery for all City Production resources/GSA Contract 47QSMS24D0010","Non Professional Services, Technology","2024 Feb 13 12:00:00 AM","2028 Dec 04 12:00:00 AM"
"Emergency Communication","24000005611","$1,112,686.85","Intrado Life & Safety Solutions Corp","Cooperative Agreement","Requisition #240006337: GF - Intrado - VIPER Upgrade Contract VIPER Upgrade - HGAC Contract #EC07-23","Non Professional Services, Non Technology","2023 Dec 06 12:00:00 AM","2028 Dec 05 12:00:00 AM"
"City Wide","24000005164","$75,000.00","ARW CONTRACTING, INC","Invitation to Bid","IFB# 240000172 / Citywide / Maintenance Related Services (Multiple) - Carpentry, Drywall Repair and Finishing, Painting (Interior and Exterior) / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2023 Dec 12 12:00:00 AM","2028 Dec 11 12:00:00 AM"
"City Wide","24000005171","$100,000.00","International Roofing Corporation","Invitation to Bid","IFB# 240000172 / Citywide / Maintenance Related Services (Multiple) - Roofing Installation and Repairs / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2023 Dec 12 12:00:00 AM","2028 Dec 11 12:00:00 AM"
"City Wide","24000005174","$50,000.00","National Security & Door Corp","Invitation to Bid","IFB# 240000172 / Citywide / Maintenance Related Services (Multiple) - Door and Lock Services, Window and Glass Replacement Services / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2023 Dec 12 12:00:00 AM","2028 Dec 11 12:00:00 AM"
"City Wide","24000005183","$150,000.00","The Service Company of Virginia","Invitation to Bid","IFB# 240000172 / Citywide / Maintenance Related Services (Multiple) - Carpentry, Drywall Repair Finishing, Painting (Interior/Exterior), Flooring, Door and Lock, Fencing and Gate Installation, Masonry Concrete (Minor)/ 5-Year Initial Term","Non Professional Services, Non Technology","2023 Dec 12 12:00:00 AM","2028 Dec 11 12:00:00 AM"
"City Wide","24000005186","$250,000.00","United Unlimited Construction Inc","Invitation to Bid","IFB# 240000172 / Citywide / Maintenance Related Services (Multiple) - All / 5-Year Initial Term with Two (2) - Year Renewal Options","Non Professional Services, Non Technology","2023 Dec 12 12:00:00 AM","2028 Dec 11 12:00:00 AM"
"Public Works","26000003632","$28,451,342.38","Kokosing Construction Company, Inc.","Invitation to Bid","IFB 250011418 Jahnke Rd Improvements","Construction - Capital/Non-Capital","2025 Dec 03 12:00:00 AM","2028 Dec 15 12:00:00 AM"
"City Wide","24000005165","$50,000.00","Atlantic Duct Cleaning, LLC","Invitation to Bid","IFB# 240000172 / Citywide / Maintenance Related Services (Multiple) - HVAC Duct Cleaning / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2023 Dec 18 12:00:00 AM","2028 Dec 17 12:00:00 AM"
"City Wide","24000005176","$100,000.00","ROOF SYSTEMS OF VA INC","Invitation to Bid","IFB# 240000172 / Citywide / Maintenance Related Services (Multiple) - Roofing Installation and Repairs / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2023 Dec 18 12:00:00 AM","2028 Dec 17 12:00:00 AM"
"Information Technology","23000012256","$564,600.00","ePlus Technology, inc.","Cooperative Agreement","Requisition 230014002/ePlus Cisco Telephony Managed Services > TERM: 60 MONTHS ePlus Cisco Telephony Managed Services - provideed by ePlus COOP _ UVA-AGR-IT-00178-eP","Non Professional Services, Non Technology","2023 Jun 30 12:00:00 AM","2028 Dec 31 12:00:00 AM"
"Information Technology","25000005210","$41,520.00","ePlus Technology, inc.","Cooperative Agreement","Contract no. 25000005210/ePlus/Contract No UVA-AGR-IT-00178-ePlus/TERM: 60 MONTHS","Non Professional Services, Technology","2024 Dec 12 12:00:00 AM","2028 Dec 31 12:00:00 AM"
"City Wide","24000005175","$100,000.00","Old Dominion Roofing & Construction Inc","Invitation to Bid","IFB# 240000172 / Citywide / Maintenance Related Services (Multiple) Roofing Installation and Repairs / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Jan 03 12:00:00 AM","2029 Jan 02 12:00:00 AM"
"City Wide","24000005185","$50,000.00","Top Gun LLC","Invitation to Bid","IFB# 240000172 / Citywide / Maintenance Related Services (Multiple) - Painting (Interior and Exterior) and Window Cleaning / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Jan 03 12:00:00 AM","2029 Jan 02 12:00:00 AM"
"Human Resources","24000006321","$1.00","Advantex Consulting, LLC","Invitation to Bid","IFB# 230007674 / HR / Human Resource Related Services (Multiple) - Exec. Recruitment, HR Consulting, Exec. Coaching, Employee Mentoring & Coaching, Organizational Development. / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Jan 03 12:00:00 AM","2029 Jan 02 12:00:00 AM"
"Human Resources","24000006325","$1.00","Walter M Anderson","Invitation to Bid","IFB# 230007674 / HR / Human Resource Related Services (Multiple) - Non-Exec Recruitment, Executive Recruitment, HR Consulting, HR Learning, Executive Coaching, Mentoring, Org Development/ 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Jan 03 12:00:00 AM","2029 Jan 02 12:00:00 AM"
"Public Utilities","26000005419","$2,193,000.00","MEB General Contractors Inc","Request for Proposal","250010519 - RFP Main Pumping Station - CMAR ARPA - Project Duration 1,163 days","Construction - Capital/Non-Capital","2025 Oct 28 12:00:00 AM","2029 Jan 03 12:00:00 AM"
"Human Resources","24000006379","$75,000.00","Southeastern Institute of Research, Inc.","Invitation to Bid","IFB# 230007674 / HR / Human Resource Related Services (Multiple) - Mediation, Executive Travel, Facilitator, Survey, Market Research and Branding / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Jan 05 12:00:00 AM","2029 Jan 04 12:00:00 AM"
"Human Resources","24000006383","$1.00","The Michelle Martin Group","Invitation to Bid","IFB# 230007674 / HR / Human Resource Related Services (Multiple) - Non-Executive Recruitment, Executive Recruitment, HR Consulting, HR Learning, Mediation, Coaching, Temp Labor / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Jan 05 12:00:00 AM","2029 Jan 04 12:00:00 AM"
"Human Resources","24000006385","$100,000.00","Robert Bobb Group LLC","Invitation to Bid","IFB# 230007674 / HR / Human Resource Related Services (Multiple) - Non-Exec. Recruitment, Exec Recruitment, HR Consulting, HR Learning, Mediation, Org Development, Facilitator / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Jan 05 12:00:00 AM","2029 Jan 04 12:00:00 AM"
"City Wide","24000005180","$300,000.00","Summit Construction & Environmental Services","Invitation to Bid","IFB# 240000172 / Citywide / Maintenance Related Services (Multiple) - Drywall Repair and Finishing, Painting (Interior and Exterior), Roofing Installation and Repairs / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Jan 12 12:00:00 AM","2029 Jan 11 12:00:00 AM"
"Human Resources","24000006329","$1.00","Created2Catapult, LLC","Invitation to Bid","IFB# 230007674 / HR / Human Resource Related Services (Multiple) - HR Consulting, HR Learning, Executive Coaching, Employee Mentoring, Org Development, Facilitator / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Jan 16 12:00:00 AM","2029 Jan 15 12:00:00 AM"
"Human Resources","24000006337","$1.00","Insight Global, LLC","Invitation to Bid","IFB# 230007674 / HR / Human Resource Related Services (Multiple) - Cultural Training / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Jan 16 12:00:00 AM","2029 Jan 15 12:00:00 AM"
"Human Resources","24000006354","$1.00","Painting the Picture, LLC","Invitation to Bid","IFB# 230007674 / HR / Human Resource Related Services (Multiple) - Employee Mentoring and Coaching, Organizational Development, Facilitator, and Market Research and Branding / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Jan 16 12:00:00 AM","2029 Jan 15 12:00:00 AM"
"Human Resources","24000006395","$1.00","W. Grayson's Easy Business Solutions, LLC","Invitation to Bid","IFB# 230007674 / HR / Human Resource Related Services (Multiple) -Non-Executive and Executive Recruitment, HR Consulting, HR Learning, Mediation, Exec. Coaching, Mentoring, Exec, Travel, Org. / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Jan 16 12:00:00 AM","2029 Jan 15 12:00:00 AM"
"City Wide","24000005167","$50,000.00","BULLOCK PAINTING CONTRACTORS","Invitation to Bid","IFB# 240000172 / Citywide / Maintenance Related Services (Multiple) - Painting (Interior and Exterior) / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Jan 18 12:00:00 AM","2029 Jan 17 12:00:00 AM"
"Human Resources","24000006336","$1.00","Discovery Support Services LLC","Invitation to Bid","IFB# 230007674 / HR / Human Resource Related Services (Multiple) - Executive Recruitment, Human Resource Consulting, Organizational Development, and Temp Labor / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Jan 18 12:00:00 AM","2029 Jan 17 12:00:00 AM"
"Human Resources","24000006381","$1.00","Talent Advisory Group LLC","Invitation to Bid","IFB# 230007674 / HR / Human Resource Related Services (Multiple) - Non-Executive Recruitment, Executive Recruitment, Executive Coaching, Employee Mentoring and Coaching / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Jan 24 12:00:00 AM","2029 Jan 23 12:00:00 AM"
"Human Resources","24000006382","$1.00","The Human Resource Connection, Ltd.","Invitation to Bid","IFB# 230007674 / HR / Human Resource Related Services (Multiple) - Human Resource Consulting, Executive Coaching, Employee Mentoring and Coaching, Facilitator / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Jan 24 12:00:00 AM","2029 Jan 23 12:00:00 AM"
"Public Utilities","26000006562","$19,266,000.00","W. M. Schlosser Company Inc","Invitation to Bid","IFB No. 260001830 / Byrd Park Main Pumping Station / DPU / Performance time of 1,185 consecutive days after NTP","Construction - Capital/Non-Capital","2025 Oct 27 12:00:00 AM","2029 Jan 24 12:00:00 AM"
"Human Resources","24000006355","$1.00","Patrisia Daniels","Invitation to Bid","IFB# 230007674 / HR / Human Resource Related Services (Multiple) - Human Resource Consulting Services / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Jan 26 12:00:00 AM","2029 Jan 25 12:00:00 AM"
"Human Resources","24000006342","$1.00","LanceSoft, Inc.","Invitation to Bid","IFB# 230007674 / HR / Human Resource Related Services (Multiple) - Non-Executive Recruitment, Executive Recruitment, HR Consulting, Temporary Labor / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Jan 29 12:00:00 AM","2029 Jan 28 12:00:00 AM"
"Human Resources","24000006343","$150,000.00","Noble Hearts HR","Invitation to Bid","IFB# 230007674 / HR / Human Resource Related Services (Multiple) - Non-Executive & Executive Recruitment, Temp Labor, HR Consulting, HR Learning, Mediation, Executive Coaching, Mentoring / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Jan 29 12:00:00 AM","2029 Jan 28 12:00:00 AM"
"Human Resources","24000006386","$1.00","The Well Group LLC","Invitation to Bid","IFB# 230007674 / HR / Human Resource Related Services (Multiple) - Non-Exec. Recr. Srvcs., Exec. Recr. Srvcs., HR Consu. Srvcs., HR Lrning Srvcs., Exec Coach Srvcs., Emp. Ment. & Coach. Srvcs. / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Jan 29 12:00:00 AM","2029 Jan 28 12:00:00 AM"
"Human Resources","24000006335","$1.00","Ron Keith","Invitation to Bid","IFB# 230007674 / HR / Human Resource Related Services (Multiple) - HR Consulting, Mediation, Exec. Coaching, Employee Mentoring, Exec. Travel, Organizational Develop. Cultural, Fac / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Feb 07 12:00:00 AM","2029 Feb 06 12:00:00 AM"
"Human Resources","24000006349","$100,000.00","Omnicruit LLC","Invitation to Bid","IFB# 230007674 / HR / Human Resource Related Services (Multiple) - Non-Exec Recr. Srvcs., Exec. Recr. Srvcs., Temp Labor Srvcs., HR Consult. Srvcs., Med. Srvcs., Exec. Coach. Srvcs. / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Feb 07 12:00:00 AM","2029 Feb 06 12:00:00 AM"
"Human Resources","24000006380","$1.00","Sparks Personnel Services, Inc.","Invitation to Bid","IFB# 230007674 / HR / Human Resource Related Services (Multiple) - Temporary Labor Services / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Feb 07 12:00:00 AM","2029 Feb 06 12:00:00 AM"
"Human Resources","24000006356","$1.00","Pulse HR Solutions, LLC","Invitation to Bid","IFB# 230007674 / HR / Human Resource Related Services (Multiple) - HR Consulting, HR Learning, Exec. Coaching, Employee Mentoring, Org Development, Cultural Training, Facilitator / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Feb 08 12:00:00 AM","2029 Feb 07 12:00:00 AM"
"Human Resources","24000006306","$1.00","Sidarth Rajkumar","Invitation to Bid","IFB# 230007674 / HR / Human Resource Related Services (Multiple) - Exec. Recruitment, Temp Labor, HR Consulting, HR Learning, Exec. Coaching, Employee Mentoring, Org Development, Cultural Trai / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Feb 12 12:00:00 AM","2029 Feb 11 12:00:00 AM"
"Finance","24000007399","$1.00","Love My Credit Consulting Firm","Invitation to Bid","IFB# 240000679 / Finance / Finance and General Related Services - Project Planning and Program Management / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Feb 12 12:00:00 AM","2029 Feb 11 12:00:00 AM"
"Finance","24000007397","$1.00","Capital City Consultrix","Invitation to Bid","IFB# 240000679 / Finance / Finance and General Related Services - Project Planning and Program Management / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Feb 14 12:00:00 AM","2029 Feb 13 12:00:00 AM"
"Human Resources","24000006340","$325,000.00","KEEP EVOLVING CONSULTING","Invitation to Bid","IFB# 230007674 / HR / Human Resource Related Services (Multiple) - Non-Exec. and Exec. Recruitment, HR Consulting, Mediation, Exec. Coaching, Employee Mentoring, Org Develop., Facilitator / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Feb 21 12:00:00 AM","2029 Feb 20 12:00:00 AM"
"Human Resources","24000006314","$1.00","Administrative & Consult Advantage","Invitation to Bid","IFB# 230007674 / HR / Human Resource Related Services (Multiple) - Non-Executive Recruitment, Executive Recruitment / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Feb 26 12:00:00 AM","2029 Feb 25 12:00:00 AM"
"Human Resources","24000006326","$100,000.00","Allegis Group Holdings","Invitation to Bid","IFB# 230007674 / HR / Human Resource Related Services (Multiple) - Temporary Labor Services / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Feb 26 12:00:00 AM","2029 Feb 25 12:00:00 AM"
"Human Resources","24000006328","$1.00","Brian Crewe","Invitation to Bid","IFB# 230007674 / HR / Human Resource Related Services (Multiple) - HR Learning, Executive Coaching, Employee Mentoring, Organizational Development, Cultural Training, Facilitator / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Feb 26 12:00:00 AM","2029 Feb 25 12:00:00 AM"
"Human Resources","24000006362","$1.00","Reliance Staffing & Recruiting","Invitation to Bid","IFB# 230007674 / HR / Human Resource Related Services (Multiple) - Temporary Labor Services / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Feb 26 12:00:00 AM","2029 Feb 25 12:00:00 AM"
"Finance","24000007395","$1.00","AKB Notary & Signing LLC","Invitation to Bid","IFB# 240000679 / Finance / Finance and General Related Services - Market Research / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Feb 26 12:00:00 AM","2029 Feb 25 12:00:00 AM"
"Finance","24000007396","$1.00","Brandekko LLC dba BKO - INACTIVE","Invitation to Bid","IFB# 240000679 / Finance / Finance and General Related Services - Market Research Services / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Feb 26 12:00:00 AM","2029 Feb 25 12:00:00 AM"
"Finance","24000007402","$1.00","W. Grayson's Easy Business Solutions, LLC","Invitation to Bid","IFB# 240000679 / Finance / Finance and General Related Services - Project Planning and Program Management, Market Research, Grant Consultant / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Feb 26 12:00:00 AM","2029 Feb 25 12:00:00 AM"
"Finance","24000007400","$50,000.00","Southeastern Institute of Research, Inc.","Invitation to Bid","IFB# 240000679 / Finance / Finance and General Related Services - Strategic Development Consulting / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Feb 28 12:00:00 AM","2029 Feb 27 12:00:00 AM"
"Public Works","18000026133","$500,000.00","Passport Labs, Inc. - Inactive","Cooperative Agreement","/Mobile Parking App/Term 1 of 1/180018663","Non Professional Services, Technology","2018 Mar 01 12:00:00 AM","2029 Feb 28 12:00:00 AM"
"Information Technology","25000013178","$236,394.93","Splash Business Intelligence","Cooperative Agreement","Requisition - 250011818 - DIT - Replacement Reporting Tool for CORERP - migration with oracle implementation - Cooperative Procurement - GSA Contract No. 47QTCA19D008Y","Non Professional Services, Technology","2025 Jul 03 12:00:00 AM","2029 Mar 28 12:00:00 AM"
"Public Works","26000001873","$156,030.00","Cascade Engineering, Inc.","Cooperative Agreement","Req 260000727 / Co-Op / Sourcewell #120324-CEI / Waste Carts / Can keep using, but need to do mod","Supplies, Non Technology","2025 Aug 08 12:00:00 AM","2029 Apr 04 12:00:00 AM"
"Public Utilities","24000010541","$4,500,000.00","CONSOLIDATED PIPE & SUPPLY","Invitation to Bid","IFB 240008759 / Supp Non- Tech/ Department of Public Utilities / Ductile-Iron Water Pipe & Fittings/ Initial Term of Five (5) years with Two (2) - Two (2) year renewals and extension.","Supplies, Non Technology","2024 May 07 12:00:00 AM","2029 May 06 12:00:00 AM"
"Public Utilities","24000010543","$4,500,000.00","FERGUSON ENTERPRISES INC","Invitation to Bid","IFB 240008759 / Supp Non- Tech/ Department of Public Utilities / Ductile-Iron Water Pipe & Fittings/ Initial Term of Five (5) years with Two (2) - Two (2) year renewals and extension.","Supplies, Non Technology","2024 May 07 12:00:00 AM","2029 May 06 12:00:00 AM"
"Public Utilities","24000010547","$2,000,000.00","L-B WATER SERVICE INC","Invitation to Bid","IFB 240008759/ Supp Non- Tech/ Department of Public Utilities / Ductile-Iron Water Pipe & Fittings/ Initial Term of Five (5) years with Two (2) - Two (2) year renewals and extension.","Supplies, Non Technology","2024 May 07 12:00:00 AM","2029 May 06 12:00:00 AM"
"Public Utilities","24000010542","$4,500,000.00","FORTILINE INC","Invitation to Bid","IFB 240008759/ Supp Non- Tech/ Department of Public Utilities / Ductile-Iron Water Pipe & Fittings/ Initial Term of Five (5) years with Two (2) - Two (2) year renewals and extension.","Supplies, Non Technology","2024 May 08 12:00:00 AM","2029 May 07 12:00:00 AM"
"Information Technology","24000010299","$700,000.00","WePullCable, LLC","Invitation to Bid","IFB - Requisition 240006884/Network Cabling and Wiring Services/5-year term, 3 one-year renewal options","Non Professional Services, Technology","2024 May 22 12:00:00 AM","2029 May 21 12:00:00 AM"
"Public Works","24000008763","$1,000,000.00","Manchester Marketing Inc","Request for Proposal","RFP Requisition #230011913/Towing and Tow Lot Operations and Ordinance No. 2024-137/5 yr. term with 2two-year renewal options.","Non Professional Services, Non Technology","2024 Jun 23 12:00:00 AM","2029 Jun 22 12:00:00 AM"
"Information Technology","24000012560","$137,530.00","Foreman Pro Cleaning","Invitation to Bid","Requisition / IFB #240011033 - Data Center / Critical Environment Cleaning - DIT. Initial 5-year term and two 2-year renewal terms.","Non Professional Services, Technology","2024 Jul 01 12:00:00 AM","2029 Jun 30 12:00:00 AM"
"Public Works","19000022490","$1,000,000.00","CENTRAL VIRGINIA WASTE MANAGEMENT AUTHORITY","Cooperative Agreement","HOUSEHOLD HAZARDOUS WASTE COLLECTION,TRANSPORT, USED OIL, OIL FILTERS AND ANTIFREEZE COLLECTION, TRANSPORT/Term 1 of 2","Non Professional Services, Non Technology","2019 Jul 01 12:00:00 AM","2029 Jun 30 12:00:00 AM"
"City Wide","25000000702","$750,000.00","Southeastern Institute of Research, Inc.","Invitation to Bid","IFB# 240009727 / Citywide / Strategic Support Related Services / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology","2024 Jul 24 12:00:00 AM","2029 Jul 23 12:00:00 AM"
